stay_type,room_type,combined_name,risk_score,avg_rating,review_count
Couple,Large Room,Numa Mozart - tophotelmozart,0.9751036637358147,8.25,24
Couple,Large Room,Numa Obersendling - numa-munich-obersendling,0.8307632652877864,8.392857142857142,28
Couple,Large Room,Numa Vici - dolce-vita-residence,0.8500000000000002,8.916666666666666,12
Couple,Large Room - Accessible,Numa Arc - numa-i-arc-rooms-amp-apartments,0.2525958726282269,8.333333333333334,6
Couple,Large Room - Accessible,Numa Boxer - almodovarhotel-berlin-biohotel,1.6946216607158853,7.555555555555555,9
Couple,Large Room - Accessible,Numa Savi - stilwerk-kantgaragen-berlin63,0.1635,9.2,5
Couple,Large Room with Balcony,Numa Kudamm - about-berlin-hotel,0.2,9.0,7
Couple,Large Room with Balcony,Numa Mozart - tophotelmozart,1.3181818181818186,8.666666666666666,12
Couple,Large Room with Balcony - Accessible,Numa Torstraße - alte-schonhauser-str-2-10119-berlin,,8.0,1
Couple,Large Room with Extra Single Bed,Numa Barberini - capriceroma,,2.0,1
Couple,Large Room with Extra Single Bed,Numa Linea - capitol-roma,0.16204081632653058,9.142857142857142,7
Couple,Large Room with Separate Living Area,Numa Forcola - numa-venice-forcola,0.2,9.0,5
Couple,Large Room with Separate Living Area and Balcony,Numa Forcola - numa-venice-forcola,0.1,9.5,2
Couple,Large Room with Terrace,Numa Wood - the-wood,0.3330912571772602,8.428571428571429,7
Couple,Large Studio with Kitchen,Numa Craft - numa-i-craft-rooms-amp-apartments,0.1,8.5,2
Couple,Large Studio with Kitchen,Numa Nook - frederics-serviced-apartment,1.1195003490683508,7.975,40
Couple,Large Studio with Kitchen,Numa Stark - joyn-munich-rose,0.45,8.5,8
Couple,Large Studio with Kitchen,Numa Topp - frogner-house-apartments-skovveien-15,0.2607783257591476,8.903225806451612,31
Couple,Large Studio with Kitchen,Numa YAYS Paris Issy by Numa - yays-paris-issy,0.6337993159097277,8.25,8
Couple,Large Studio with Kitchen - Accessible,Numa Sol - numa-madrid-sol-apartments,1.1099462032274774,7.0,4
Couple,"Large Studio with Kitchen - Single Bed, Accessible",Numa Topp - frogner-house-apartments-skovveien-15,,9.0,1
Couple,Large Studio with Kitchen and Sofa Bed,Numa Kater - berlin-eastside-apartments,,10.0,1
Couple,Large Studio with Kitchen and Sofa Bed,Numa Palazzo Moro - palazzo-del-moro-firenze,0.8761904761904763,8.761904761904763,21
Couple,"Large Studio with Kitchen, Balcony and Sofa Bed",Numa Nora - townhouse-nora-salzburg,,10.0,1
Couple,Large Studio with Kitchenette,Numa Arc - numa-i-arc-rooms-amp-apartments,0.664013114687317,8.247619047619047,105
Couple,Large Studio with Kitchenette,Numa Artol - excelsiordusseldorf,1.3788504823771357,7.230769230769231,13
Couple,Large Studio with Kitchenette,Numa Blau - star-apart-hauptbahnhof,0.3333333333333334,8.666666666666666,3
Couple,Large Studio with Kitchenette,Numa Blend - numa-i-blend-apartments,1.0787019190226568,8.4,30
Couple,Large Studio with Kitchenette,Numa Bona - auerberg-galerie,1.803279536560811,7.0,5
Couple,Large Studio with Kitchenette,Numa Boxer - almodovarhotel-berlin-biohotel,0.22222222222222224,8.88888888888889,9
Couple,Large Studio with Kitchenette,Numa Drift - gaijin,0.9731252281095492,8.705882352941176,17
Couple,Large Studio with Kitchenette,Numa Fore - my4walls-serviced-apartments-hamburg,1.11833142732194,7.855769230769231,104
Couple,Large Studio with Kitchenette,Numa Hallen - oslo-apartments-dronningensgate-15,0.5185365853658537,8.829268292682928,41
Couple,Large Studio with Kitchenette,Numa Munico - munico,0.4329710144927536,8.458333333333334,24
Couple,Large Studio with Kitchenette,Numa Obersendling - numa-munich-obersendling,0.10250000000000001,9.0,5
Couple,Large Studio with Kitchenette,Numa Rato - numa-i-voga-rooms-amp-apartments,,9.0,1
Couple,Large Studio with Kitchenette,Numa Saga - numa-l-saga-apartments,0.1560535717656662,9.016949152542374,59
Couple,Large Studio with Kitchenette,Numa Turi - numa-i-turi-apartments-zurich,0.34699285863220164,8.142857142857142,7
Couple,Large Studio with Kitchenette,Numa Viktoria - joyn-munich-olympic-munchen,0.9712946065409382,7.9523809523809526,21
Couple,Large Studio with Kitchenette - Accessible,Numa Blend - numa-i-blend-apartments,2.832811393261123,7.230769230769231,13
Couple,Large Studio with Kitchenette - Accessible,Numa Champs-Élysées - numa-paris-champs-elysees,,7.0,1
Couple,Large Studio with Kitchenette - Accessible,Numa Rato - numa-i-voga-rooms-amp-apartments,,8.0,1
Couple,Large Studio with Kitchenette - Twin Beds,Numa Bona - auerberg-galerie,1.2009247375034944,7.75,4
Couple,Large Studio with Kitchenette and Balcony,Numa Artol - excelsiordusseldorf,1.2292121953441177,7.8,5
Couple,Large Studio with Kitchenette and Balcony,Numa Belfort - belfort-berlin,0.20583333333333334,9.25,4
Couple,Large Studio with Kitchenette and Balcony,Numa Blau - star-apart-hauptbahnhof,2.350863713081677,6.0,5
Couple,Large Studio with Kitchenette and Balcony,Numa Boxer - almodovarhotel-berlin-biohotel,0.11720663265306124,9.625,8
Couple,Large Studio with Kitchenette and Balcony,Numa Munico - munico,1.5274909354101962,7.6,15
