Unnamed: 0,Hotel Name,Mean Rating,Median Rating,Variance Rating,Low-Score Proportion,Low-Score Trend Slope,Low-Score Trend Confidence,Variance Trend Slope,Variance Trend Confidence,Composite Risk Score,Overall Risk Label,Cluster,Rank
60,oslo-apartments-dronningensgate-15,8.70954487989886,9.0,2.0412479243172195,0.069110830172777,0.0002121889743321,0.0011022356375889,-0.0045189815562927,0.0042656585123929,-2.837297619938753,Low,1,39.0
61,dolce-vita-residence,8.495606060606061,9.0,2.2626232276897413,0.1204545454545454,-0.0020854465808594,0.0577289380383035,-0.00220807129064,0.0009906698153989,-2.6598660796534657,Low,1,54.0
62,numa-i-turi-apartments-zurich,8.278846153846153,9.0,2.2171404983904988,0.1228632478632478,-0.003465943339361,0.0678912232855039,0.003872709568912,0.0005306015152457,-2.5852706058006687,Low,1,58.0
63,munico,8.159498207885305,8.5,2.670841774453275,0.1254480286738351,-0.0002486745645708,0.0004731974049601,0.0009648573105348,0.0001955961055586,-2.3997759856630827,Low,1,69.0
64,numa-i-craft-rooms-amp-apartments,8.417316017316018,9.0,3.024959368117263,0.0670995670995671,-0.0013801987486198,0.0175638618298915,0.0042685384790647,0.0018323826713747,-2.4257379988432626,Low,1,66.0
65,numa-i-felice-rooms-amp-apartments,8.670489296636086,9.0,2.244905519688904,0.0749235474006116,2.4711951317455883e-05,1.1035586317252382e-05,-0.0052937633212862,0.0023751942221025,-2.757786722989324,Low,1,44.0
66,numa-i-blend-apartments,8.27875816993464,9.0,4.144505813326432,0.1473856209150326,0.0019411821250657,0.0332580414063172,-0.0169131076442881,0.01288607968384,-1.9957617878578264,Moderate,2,81.0
67,stilwerk-kantgaragen-berlin63,8.71188524590164,9.0,1.064722128136808,0.0651639344262295,0.0002038303136045,0.0016218479594153,-0.0241014888810316,0.0429219924348423,-3.13512487553188,Low,0,16.0
68,numa-i-colmena-apartments,9.062091503267974,9.0,1.0937412368687849,0.0253267973856209,0.0005875944533345,0.0144818644722945,0.0129072873021168,0.0235309939457781,-3.282642583932865,Low,0,11.0
69,eiffel-village-apartments-paris-centre,8.039156626506024,8.5,3.2566628301825187,0.1495983935742972,-0.0023211312147544,0.0295807594011309,0.0065540909281726,0.0009742797540568,-2.1636734219106395,Low,2,77.0
70,the-wood,8.811854460093896,9.0,1.1285444483290603,0.0422535211267605,0.0001376108658098,0.0012621397902179,-0.0068859569159239,0.0095293704705694,-3.1657127624938903,Low,0,15.0
71,berlin-eastside-apartments,7.797619047619047,8.0,3.875468975468976,0.1904761904761904,-0.0003189792663476,0.0001881241811559,-0.0066302118933697,0.0095901594438611,-1.861895648211437,Moderate,2,86.0
72,gaderin,8.378205128205128,8.416666666666668,1.739777107424166,0.0929487179487179,-0.0012877429636586,0.0056929247411718,0.0118386977432482,0.0025597440161318,-2.781948238898849,Low,1,42.0
73,joyn-munich-olympic-munchen,8.4061172354777,8.5,1.066844636160924,0.0965539951005067,-0.000543520997777,0.0257899502540158,-0.0211753822272001,0.0689365583316679,-2.9963427482148246,Low,0,26.0
74,camperio-house-suites-apartments,8.503856749311295,9.0,3.2062905570860125,0.1315426997245179,-0.0010900736124283,0.017235833861982,-0.007382129792711,0.0035406860730224,-2.374840410438212,Low,1,70.0
75,joyn-munich-rose,8.598039215686276,9.0,2.175249142561315,0.0620915032679738,-3.392686498804078e-05,2.236347203855057e-05,0.003894050170294,0.0015405072200374,-2.7552125722280976,Low,1,45.0
76,amsterdam-east-by-yays,8.379746835443038,8.5,2.91234808323416,0.0738396624472573,-0.0003164556962025,0.0008344030808729,-0.0078343070431678,0.0101271837443638,-2.442121199826896,Low,1,64.0
77,excelsiordusseldorf,7.405805243445693,8.0,3.56554988083078,0.2314606741573033,-0.0009862671660424,0.0047226831328715,-0.0316544660083985,0.0273249484722019,-1.78028949608444,Moderate,2,89.0
78,numa-i-leo-apartments,8.957758620689654,9.0,1.143721889055472,0.0229885057471264,-7.68846346057737e-06,3.557959154628877e-06,0.0009411960686323,0.0001887304181503,-3.2284000467714864,Low,0,12.0
79,numa-munich-obersendling,8.561111111111112,9.0,2.3423533083645443,0.0833333333333333,0.0006955591225254,0.0059940250728677,0.0090735481746717,0.0025858879759448,-2.679025318626443,Low,1,51.0
80,fashion-dancing,9.345653123634776,9.5,0.599750655500619,0.0237003058103975,0.0001853396348809,0.0024690976991095,0.0201296936159321,0.0314639364358286,-3.5444358626099564,Low,0,2.0
81,palazzo-belfiore,8.59322033898305,9.0,2.1420222092343657,0.0847457627118644,0.0015195791934541,0.0096924510717614,-0.0195499707773232,0.0627363330529856,-2.7539596727060203,Low,0,46.0
82,urban-vida-granada-i,8.788,9.333333333333334,2.661346774193548,0.088,-0.0007286226318484,0.0104853161797695,0.0135556579621095,0.0075452529237021,-2.6715861264720946,Low,1,52.0
